-0.14900,-0.08700,0.06200,0.11800,-0.10500,-0.01200,-0.02000,-0.01600,-0.02300,-0.03000,-0.03500,-0.02000
-0.14800,-0.09000,0.05800,0.11900,-0.10300,-0.01600,-0.02000,-0.01300,-0.02000,-0.02900,-0.03500,-0.03200
-0.13200,-0.08200,0.05000,0.10700,-0.09100,-0.01500,-0.02000,-0.00900,-0.01200,-0.02400,-0.03500,-0.03200
-0.12200,-0.07400,0.04800,0.09800,-0.08500,-0.01200,-0.01700,-0.00500,-0.00700,-0.02600,-0.03300,-0.02400
-0.13000,-0.05800,0.07200,0.09400,-0.10000,0.00600,-0.00900,-0.00300,-0.00300,-0.02100,-0.02300,-0.01800
-0.12600,-0.05800,0.06800,0.09200,-0.09700,0.00500,-0.00100,0.00800,0.00500,-0.00700,-0.01500,-0.01100
-0.05100,0.01300,0.06400,0.01800,-0.05700,0.03800,0.00600,0.01700,0.00700,0.00700,-0.00600,-0.00300
-0.07200,0.01600,0.08800,0.02800,-0.08000,0.05200,0.01600,0.02800,0.01900,0.01700,0.00200,0.00800
-0.09800,-0.02300,0.07500,0.06000,-0.08600,0.02600,-0.01000,0.02900,0.01500,0.01200,0.00500,0.01700
-0.08100,-0.00200,0.07900,0.04100,-0.07900,0.03800,-0.03800,0.03100,0.02700,0.03100,0.02400,0.03300
-0.06000,-0.00500,0.05500,0.03200,-0.05700,0.02500,-0.03400,0.02400,0.04100,0.03800,0.03100,0.03300
-0.06900,-0.03900,0.03000,0.05400,-0.04900,-0.00500,-0.03200,-0.01100,0.00500,0.00500,0.00300,0.01500
-0.10600,-0.08100,0.02500,0.09300,-0.06500,-0.02800,-0.02900,-0.02400,-0.00200,-0.02600,-0.03600,0.00500
-0.11900,-0.10500,0.01400,0.11200,-0.06600,-0.04500,-0.02600,-0.03700,-0.00600,-0.02700,-0.04000,-0.00800
-0.14800,-0.11400,0.03300,0.13100,-0.09000,-0.04000,-0.02400,-0.04300,-0.03000,-0.03300,-0.04100,-0.01900
-0.12900,-0.10600,0.02300,0.11800,-0.07600,-0.04100,-0.04100,-0.04400,-0.05400,-0.06600,-0.06400,-0.02800
-0.12600,-0.10200,0.02500,0.11400,-0.07500,-0.03800,-0.03600,-0.03300,-0.04900,-0.06400,-0.05900,-0.02200
-0.15200,-0.10900,0.04300,0.13000,-0.09700,-0.03300,-0.02000,-0.02800,-0.03100,-0.06200,-0.05300,-0.00400
-0.13100,-0.14000,-0.00900,0.13500,-0.06000,-0.07400,0.00200,0.03100,-0.03000,-0.06200,-0.06800,-0.04000
-0.10700,-0.04700,0.06000,0.07700,-0.08300,0.00700,0.09000,0.22500,0.12100,0.05600,0.00700,-0.02300
0.20800,0.21300,0.00500,-0.21100,0.10100,0.10900,0.00300,0.37900,0.47600,0.41500,0.30100,0.19400
0.52100,0.30200,-0.21900,-0.41100,0.37000,0.04100,-0.36700,-0.15800,0.32700,0.46700,0.49600,0.40900
0.25100,0.11700,-0.13400,-0.18300,0.19200,-0.00800,-0.64900,-1.18100,-0.38600,-0.04600,0.26900,0.40500
-0.04500,-0.05300,-0.00800,0.04900,-0.01900,-0.03000,-0.59000,-1.20600,-0.57500,-0.27100,0.03800,0.27600
-0.11700,-0.09200,0.02500,0.10400,-0.07100,-0.03300,-0.33800,-0.57900,-0.31200,-0.17900,-0.03300,0.13600
-0.12200,-0.08600,0.03600,0.10300,-0.07800,-0.02500,-0.12000,-0.22300,-0.13100,-0.13000,-0.08000,0.04500
-0.10800,-0.07900,0.02900,0.09300,-0.06800,-0.02500,-0.03200,-0.03100,-0.04200,-0.07100,-0.07100,0.02000
-0.15700,-0.09700,0.06000,0.12700,-0.10900,-0.01800,-0.01100,0.00000,-0.02700,-0.05200,-0.06900,0.00600
-0.15500,-0.10100,0.05400,0.12800,-0.10400,-0.02300,0.01400,0.02400,-0.01100,-0.04100,-0.06400,0.00100
-0.13500,-0.08700,0.04900,0.11100,-0.09200,-0.01900,0.02500,0.03900,-0.01100,-0.03900,-0.05900,-0.00600
-0.13800,-0.09100,0.04600,0.11400,-0.09200,-0.02200,0.03800,0.03900,-0.00500,-0.03400,-0.05600,-0.01300
-0.13400,-0.10200,0.03200,0.11800,-0.08300,-0.03400,0.04100,0.04000,0.00000,-0.02900,-0.04900,-0.01900
-0.12100,-0.09800,0.02300,0.11000,-0.07200,-0.03700,0.03900,0.04500,0.00300,-0.03100,-0.04800,-0.02100
-0.14300,-0.10600,0.03700,0.12400,-0.08900,-0.03400,0.04200,0.06800,0.00600,-0.02900,-0.04300,-0.01900
-0.16300,-0.09900,0.06500,0.13100,-0.11400,-0.01700,0.04400,0.06300,0.00400,-0.03100,-0.04200,-0.02100
-0.13100,-0.07700,0.05500,0.10400,-0.09300,-0.01100,0.04500,0.06600,0.01100,-0.02900,-0.03800,-0.01900
-0.12200,-0.08300,0.03900,0.10300,-0.08000,-0.02100,0.04700,0.06400,0.00900,-0.03100,-0.03600,-0.02100
-0.13500,-0.09500,0.04000,0.11500,-0.08700,-0.02700,0.05100,0.06900,0.01200,-0.02600,-0.03300,-0.01800
-0.13300,-0.09800,0.03400,0.11500,-0.08300,-0.03200,0.04900,0.08200,0.01700,-0.02000,-0.02800,-0.01200
-0.13400,-0.08600,0.04700,0.11000,-0.09000,-0.01900,0.04700,0.09500,0.02400,-0.01200,-0.02000,-0.00200
-0.10700,-0.07100,0.03600,0.08900,-0.07100,-0.01700,0.04100,0.11200,0.03200,-0.00700,-0.01600,0.00400
-0.08900,-0.06000,0.03000,0.07500,-0.05900,-0.01500,0.04300,0.13400,0.03500,0.00700,-0.00600,0.01300
-0.06600,-0.04300,0.02300,0.05400,-0.04400,-0.01000,0.07200,0.15600,0.05100,0.02500,-0.00400,0.01900
-0.04900,-0.02300,0.02600,0.03600,-0.03800,0.00200,0.08200,0.18200,0.06800,0.03500,0.01500,0.02000
-0.09400,-0.02300,0.07100,0.05800,-0.08200,0.02400,0.08300,0.22000,0.09500,0.06400,0.05300,0.05200
-0.08500,-0.00600,0.07900,0.04500,-0.08200,0.03600,0.09800,0.23500,0.11500,0.08800,0.06600,0.07500
-0.01800,0.05900,0.07700,-0.02100,-0.04800,0.06800,0.09100,0.25400,0.13800,0.12500,0.10600,0.10600
0.02000,0.09400,0.07400,-0.05700,-0.02700,0.08300,0.08100,0.26400,0.17000,0.15800,0.14600,0.14000
0.03900,0.10500,0.06600,-0.07200,-0.01400,0.08500,0.07300,0.24700,0.17200,0.17300,0.16100,0.16000
0.07200,0.13700,0.06500,-0.10500,0.00300,0.10100,0.06300,0.22400,0.16400,0.18400,0.16500,0.18200
0.07100,0.12800,0.05700,-0.09900,0.00600,0.09200,0.05600,0.18600,0.15600,0.17300,0.15500,0.18000
0.04800,0.10400,0.05600,-0.07600,-0.00400,0.07900,0.04500,0.14200,0.14300,0.15200,0.14300,0.16000
0.01100,0.07200,0.06100,-0.04200,-0.02600,0.06700,0.04500,0.09200,0.11600,0.10900,0.10700,0.12100
-0.04300,0.02600,0.06900,0.00800,-0.05600,0.04700,0.04400,0.07400,0.07400,0.06100,0.06500,0.07800
-0.06200,0.00200,0.06300,0.03000,-0.06300,0.03200,0.03600,0.05200,0.03900,0.03000,0.02800,0.04500
-0.07600,-0.02500,0.05100,0.05000,-0.06300,0.01300,0.03000,0.01900,0.02400,0.02200,0.00900,0.02800
-0.09100,-0.04600,0.04500,0.06800,-0.06800,-0.00100,0.02200,0.02000,0.01300,0.01400,-0.00600,0.01800
-0.10200,-0.06700,0.03500,0.08500,-0.06800,-0.01600,0.01700,0.01000,0.00400,0.00200,-0.03000,0.00800
-0.11400,-0.06500,0.04900,0.09000,-0.08100,-0.00800,0.00500,0.00400,-0.00200,-0.00900,-0.03600,0.00400
-0.12700,-0.06000,0.06700,0.09300,-0.09700,0.00300,-0.00600,-0.01300,-0.01000,-0.01900,-0.03500,-0.00200
-0.12500,-0.06500,0.06000,0.09500,-0.09200,-0.00200,-0.00100,-0.02800,-0.01500,-0.02200,-0.03500,-0.00700
-0.12300,-0.06500,0.05800,0.09400,-0.09000,-0.00400,-0.00200,-0.02000,-0.02300,-0.02600,-0.03500,-0.01300
-0.13500,-0.08100,0.05300,0.10700,-0.09400,-0.01400,-0.00400,-0.01700,-0.02300,-0.02500,-0.03400,-0.01300
-0.12400,-0.07500,0.04900,0.09900,-0.08600,-0.01200,0.00100,-0.01200,-0.01900,-0.02500,-0.03100,-0.00900
-0.12000,-0.07000,0.05000,0.09400,-0.08500,-0.01000,0.00400,-0.00800,-0.02100,-0.03400,-0.02800,-0.01100
-0.13700,-0.06800,0.06900,0.10200,-0.10300,0.00100,0.00800,-0.00400,-0.02000,-0.03200,-0.02500,-0.01000
-0.14400,-0.05800,0.08600,0.10000,-0.11500,0.01400,0.01100,0.00200,-0.02000,-0.02600,-0.02300,-0.01000
-0.14800,-0.07400,0.07300,0.11100,-0.11000,0.00000,0.01400,0.00800,-0.02000,-0.02100,-0.01900,-0.01000
-0.16100,-0.09700,0.06400,0.12900,-0.11200,-0.01600,0.01500,0.01400,-0.01400,-0.01500,-0.02600,-0.00500
-0.15600,-0.09100,0.06600,0.12300,-0.11100,-0.01200,0.01400,0.01900,0.00100,-0.01000,-0.03100,-0.00300
-0.11900,-0.06500,0.05400,0.09200,-0.08600,-0.00500,0.01600,0.02400,0.02200,-0.00500,-0.02900,0.00200
-0.12000,-0.08500,0.03500,0.10200,-0.07800,-0.02400,0.01400,0.02500,0.02500,-0.00400,-0.03000,0.00200
-0.10400,-0.07000,0.03500,0.08700,-0.06900,-0.01700,0.01600,0.03000,0.02500,0.00000,-0.03000,0.01100
-0.07300,-0.05600,0.01700,0.06400,-0.04500,-0.01900,0.01400,0.02900,0.02500,0.00100,-0.03000,0.02200
-0.10500,-0.08100,0.02400,0.09300,-0.06400,-0.02800,0.00500,0.02500,0.02000,-0.00500,-0.02600,0.02900
-0.09800,-0.05400,0.04400,0.07600,-0.07100,-0.00500,0.00800,0.02300,0.02000,-0.00600,-0.01900,0.04100
-0.08700,-0.06100,0.02700,0.07400,-0.05700,-0.01700,0.01500,0.01900,0.01800,-0.00100,-0.01200,0.03700
-0.10000,-0.06800,0.03200,0.08300,-0.06500,-0.01800,0.01900,0.01800,0.01600,0.00000,-0.00600,0.03300
-0.08300,-0.07000,0.01300,0.07700,-0.04800,-0.02800,0.01600,0.01200,0.01300,-0.00500,0.00200,0.03000
-0.10700,-0.08100,0.02600,0.09400,-0.06600,-0.02700,0.01000,0.02600,0.02300,-0.00300,0.00400,0.02500
-0.11100,-0.06600,0.04500,0.08800,-0.07800,-0.01000,0.00700,0.04000,0.02900,-0.00100,-0.00900,0.02300
-0.05800,-0.06400,-0.00700,0.06100,-0.02500,-0.03500,-0.00100,0.03300,0.02000,-0.01400,-0.02400,0.01900
-0.07400,-0.05500,0.01900,0.06500,-0.04600,-0.01800,0.00500,0.02800,0.01400,-0.02100,-0.02700,0.02000
-0.08500,-0.05200,0.03300,0.06800,-0.05900,-0.00900,0.01100,0.02200,0.00600,-0.02000,-0.02300,0.02000
-0.07600,-0.05100,0.02500,0.06300,-0.05000,-0.01300,0.00400,0.02000,-0.00200,-0.01800,-0.01900,0.02000
-0.09900,-0.04800,0.05100,0.07400,-0.07500,0.00100,0.00500,0.02000,-0.00300,-0.01500,-0.01600,0.02000
-0.06900,-0.04500,0.02400,0.05700,-0.04600,-0.01100,0.00500,0.02000,0.00000,-0.01500,-0.01100,0.02000
-0.06600,-0.03400,0.03200,0.05000,-0.04900,-0.00100,0.00500,0.02000,0.00000,-0.01200,-0.01100,0.02200
-0.08300,-0.05400,0.02900,0.06800,-0.05600,-0.01200,0.00500,0.02000,0.00000,-0.00900,-0.02700,0.02100
-0.07600,-0.07000,0.00600,0.07300,-0.04100,-0.03100,0.00400,0.02000,0.00000,-0.00600,-0.03300,0.02000
-0.05800,-0.05600,0.00200,0.05700,-0.02900,-0.02700,0.00600,0.01500,0.00100,-0.00300,-0.02600,0.02000
-0.05300,-0.05900,-0.00600,0.05600,-0.02300,-0.03200,0.00200,0.01400,0.00400,0.00000,-0.02500,0.02000
-0.09600,-0.06000,0.03600,0.07800,-0.06600,-0.01200,0.01500,0.01000,0.00500,-0.00100,-0.02000,0.01900
-0.06900,-0.06000,0.00900,0.06500,-0.03900,-0.02600,0.03300,0.00700,0.00800,-0.00500,-0.01700,0.02300
-0.08600,-0.06500,0.02200,0.07600,-0.05400,-0.02100,0.02400,0.00500,0.01100,-0.00900,-0.01400,0.02500
-0.12700,-0.06500,0.06200,0.09600,-0.09400,-0.00200,0.02400,0.00400,0.00600,-0.01100,-0.00900,0.02600
-0.09700,-0.06300,0.03400,0.08000,-0.06500,-0.01500,0.01800,0.01500,-0.01100,-0.01700,-0.00500,0.03100
-0.10300,-0.05300,0.05000,0.07800,-0.07600,-0.00100,0.01400,0.01800,0.00000,-0.00100,0.00100,0.02800
-0.05500,-0.02400,0.03100,0.03900,-0.04200,0.00300,0.03200,0.04200,0.03900,0.03100,0.00300,0.03500
-0.01100,0.02900,0.03900,-0.00900,-0.02500,0.03400,0.03200,0.06300,0.05600,0.04300,0.01300,0.04600
-0.00700,0.04500,0.05200,-0.01900,-0.03000,0.04900,0.01200,0.05200,0.05700,0.03300,0.03200,0.05400
0.01300,0.03500,0.02200,-0.02400,-0.00500,0.02800,-0.01600,0.04900,0.05900,0.03000,0.04200,0.06900
0.00100,0.02700,0.02600,-0.01400,-0.01300,0.02600,-0.02300,0.04600,0.06900,0.04700,0.03800,0.07000
0.00500,0.01700,0.01200,-0.01100,-0.00400,0.01400,-0.00900,0.03900,0.06400,0.04400,0.04300,0.07000
-0.00900,0.00900,0.01800,0.00000,-0.01400,0.01400,0.00300,0.03600,0.03800,0.03200,0.03900,0.06900
-0.02900,-0.02900,0.00000,0.02900,-0.01500,-0.01400,0.00400,0.02000,0.01200,0.01100,-0.00700,0.03400
-0.03700,-0.06200,-0.02500,0.04900,-0.00500,-0.04400,-0.00200,0.01000,0.00100,-0.01400,-0.03000,0.00500
-0.10200,-0.07200,0.03000,0.08700,-0.06600,-0.02100,-0.00100,0.00300,-0.00600,-0.02800,-0.03300,-0.00300
-0.07700,-0.06800,0.00800,0.07300,-0.04200,-0.03000,-0.00100,-0.01100,-0.01300,-0.02100,-0.03700,-0.00900
-0.06300,-0.07300,-0.01000,0.06800,-0.02600,-0.04100,0.01700,0.00100,-0.01100,-0.01000,-0.03100,-0.01700
-0.10100,-0.07600,0.02500,0.08800,-0.06200,-0.02600,0.02400,0.00400,-0.00600,0.00000,-0.02400,-0.02400
-0.08000,-0.07400,0.00700,0.07700,-0.04300,-0.03300,0.05300,0.09200,0.00700,-0.01300,-0.04100,-0.03200
-0.02500,0.02200,0.04700,0.00200,-0.03600,0.03400,0.10600,0.29300,0.19000,0.11200,0.03800,0.02700
0.35100,0.29200,-0.05900,-0.32100,0.20500,0.11600,-0.03300,0.38700,0.53800,0.49500,0.37900,0.27600
0.55900,0.34300,-0.21600,-0.45100,0.38700,0.06400,-0.40700,-0.33100,0.22700,0.41300,0.49900,0.47200
0.22600,0.12200,-0.10300,-0.17400,0.16400,0.00900,-0.63900,-1.27300,-0.47400,-0.11700,0.21500,0.41400
